,url,wait_for,search_url_template,pagination_param,search_input_selector,search_submit_selector,search_enter,results_container_selector,job_link_selector,job_card_selector,modal_selector,modal_apply_link_selector,modal_close_selector,pagination_next_selector,infinite_scroll,max_pages,company_name
0,https://www.accenture.com/us-en/careers/jobsearch,.rad-filters-vertical__job-card,https://www.accenture.com/us-en/careers/jobsearch?jk=%7Bq%7D&sb=1,,,,,,,,,,,,,,accenture
1,https://www.nigelfrank.com/microsoft-jobs,.overview,https://www.nigelfrank.com/microsoft-jobs?keyword=%7Bq%7D&location=&jobType=both&page=%7Bp%7D&remote=&security=&newJobs=true&salaryFrom=&salaryTo=&salaryCurrency=&segment=&product=,page,,,,,,,,,,,False,,nigel_frank_international
2,https://www.avanade.com/en/career/search-jobs,.jobCard,https://www.avanade.com/en/career/search-jobs#q=%7Bq%7D&sortCriteria=%40job_area_of_expertise+ascending,,,,,,,,,,,,,,avanade
3,https://apply.deloitte.com/en_US/careers/SearchJobs/power%20platform,.article--result,https://apply.deloitte.com/en_US/careers/SearchJobs/power%20platform?9353=%5B95157%2C95156%5D&9353_format=6067&listFilterMode=1&jobRecordsPerPage=10&sort=relevancy,,,,,,,,,,,,,,deloitte_(microsoft_practice)
4,https://careers.cognizant.com/global-en/jobs/,.card-job-actions js-job,https://careers.cognizant.com/global-en/jobs/?keyword=%7Bq%7D&location=&radius=100&lat=&lng=&cname=&ccode=&pagesize=50,,,,,,,,,,,,,,cognizant_(microsoft_business_group)
5,https://www.capgemini.com/careers/join-capgemini/job-search/,.table-tr filter-box tag-active joblink,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=%7Bq%7D&size=100,,,,,,,,,,,,,,capgemini
6,https://digitalcareers.infosys.com/infosys/global-careers,.left-section,https://digitalcareers.infosys.com/infosys/global-careers?keyword=%7Bq%7D&per_page=100&page=%7Bp%7D,page,,,,,,,,,,,False,,infosys
7,https://www.apexsystems.com/search-results-usa,.job-td-link,https://www.apexsystems.com/search-results-usa?catalogcode=USA&address=&radius=50&page=%7Bp%7D&rows=50&query=%7Bq%7D&remote=,page,,,,,,,,,,,False,,apex_systems
8,https://www.randstadusa.com/jobs/q-power-platform/,.cards__title,https://www.randstadusa.com/jobs/q-{q}/,,,,,,,,,,,,,,randstad_technologies
9,https://www.roberthalf.com/us/en/jobs/all/power-platform,.rhcl-job-card__inner-container,https://www.roberthalf.com/us/en/jobs/all/{q},,,,,,,,,,,,,,robert_half_technology
10,https://www.akkodis.com/en-ca/careers/job-results,.JobSearchResults_filter-results-job-position__w2qDq,https://www.akkodis.com/en-ca/careers/job-results?q=%7Bq%7D,,,,,,,,,,,,,,akkodis_(modis)
11,https://careers.smartrecruiters.com/HitachiSolutions/,.list--dotted title-list,https://careers.smartrecruiters.com/HitachiSolutions/?search=%7Bq%7D,,,,,,,,,,,,,,hitachi_solutions
12,https://www.experis.com/en/search,.job-actionbar,https://www.experis.com/en/search?page=%7Bp%7D&searchKeyword=%7Bq%7D&sortOrder=Relevance&sf=sortOrder&ids=%7BsortOrder%3A%5Bd345ff2072b1444daf5d15d7a57ba3fe%5D%7D,page,,,,,,,,,,,False,,experis_(manpowergroup)
13,https://careers.boozallen.com/jobs/search/power%20platform,.table--default,https://careers.boozallen.com/jobs/search/power%20platform?listFilterMode=1&jobRecordsPerPage=20,,,,,,,,,,,,,,booz_allen_hamilton
14,https://www.kpmguscareers.com/job-search/,.list-view d-flex justify-content-between,https://www.kpmguscareers.com/job-search/?career-level=&career-level-parents=Experienced&practice-areas-parents=Innovation+%26+Technology%7C&practice-areas=&keyword=%7Bq%7D&location=&radius=50&spage=%7Bp%7D,spage,,,,,,,,,,,False,,kpmg_llp
15,https://careers.dxc.com/global/en/search-results,.information,https://careers.dxc.com/global/en/search-results?keywords=%7Bq%7D,,,,,,,,,,,,,,dxc_technology
16,https://nttdata.eightfold.ai/careers,data-test-#job-listing,https://nttdata.eightfold.ai/careers?query=%7Bq%7D&start=%7Bp%7D&pid=563327924072039&sort_by=solr,start,,,,,,,,,,,False,,ntt_data
17,https://www.epam.com/careers/job-listings,.search-result__item-info-group,https://www.epam.com/careers/job-listings?recruitingUrl=%2Fcontent%2Fepam%2Fen%2Fcareers%2Fjob-listings%2Fjob&query=%7Bq%7D&country=all&sort=relevance&searchType=placeOfWorkFilter,,,,,,,,,,,,,,epam_systems
18,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers,.css-1q2dra3,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers?q=%7Bq%7D,,,,,,,,,,,,,,rsm_us_llp
19,https://www.hso.com/careers/vacancies/,.card card--text,https://www.hso.com/careers/vacancies/?searchTerm=%7Bq%7D,,,,,,,,,,,,,,hso
20,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs,.job-list-item__link,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=%7Bq%7D&mode=location,,,,,,,,,,,,,,argano_(arbela)
21,https://quisitive.com/careers/careers-north-america/,.job-posts,,,,,,,,,,,,,,,quisitive
22,https://careers.crowe.com/search-results,.job-title,https://careers.crowe.com/search-results?keywords=%7Bq%7D,,,,,,,,,,,,,,crowe_llp
23,https://fa-etqd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs,.job-list-item__link,https://fa-etqd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=%7Bq%7D&mode=location,,,,,,,,,,,,,,perficient
24,https://careers.velosio.com/jobs,.description-container,https://careers.velosio.com/jobs?keywords=%7Bq%7D&sortBy=relevance&page=%7Bp%7D&limit=100,page,,,,,,,,,,,False,,velosio
25,https://jobs.jobvite.com/sikichcareers/search,.jv-job-list-name,https://jobs.jobvite.com/sikichcareers/search?q=%7Bq%7D&l=&c=,,,,,,,,,,,,,,sikich_llp
26,https://www.focuscloudgroup.org/job-search/,.results-header,https://www.focuscloudgroup.org/job-search/?keyword=%7Bq%7D,,,,,,,,,,,,,,focus_cloud_(cognitive_group)
27,https://next-ventures.us/jobs/,.job_listings,https://next-ventures.us/jobs/?matador_s=%7Bq%7D,,,,,,,,,,,,,,next_ventures
